host_id,timestamp,kpi_1
12_3,2018/12/17 10:15,0
12_3,2018/12/17 10:16,0.956605
12_3,2018/12/17 10:14,0
12_3,2018/12/17 10:18,2.878429
12_3,2018/12/17 10:17,1.913557
12_3,2018/12/17 10:19,0.956389
12_3,2018/12/17 10:21,0
12_3,2018/12/17 10:20,0
12_3,2018/12/17 10:22,0
12_3,2018/12/17 10:24,0
12_3,2018/12/17 10:23,0
12_3,2018/12/17 10:25,0
12_3,2018/12/17 10:26,0.915549
12_3,2018/12/17 10:27,0
12_3,2018/12/17 10:28,1.912953
12_3,2018/12/17 10:28,1.912953
12_3,2018/12/17 10:29,0.943495
12_3,2018/12/17 10:30,0
12_3,2018/12/17 10:33,0.956939
12_3,2018/12/17 10:32,0
12_3,2018/12/17 10:35,1.913691
12_3,2018/12/17 10:34,0.956804
12_3,2018/12/17 10:48,1.885125
12_3,2018/12/17 10:44,0.942831
12_3,2018/12/17 10:47,4.784264
12_3,2018/12/17 10:39,0.956832
12_3,2018/12/17 10:40,2.829201
12_3,2018/12/17 10:46,0
12_3,2018/12/17 10:41,0
12_3,2018/12/17 10:42,0.942805
12_3,2018/12/17 10:43,0.942764
12_3,2018/12/17 10:49,0.942832
12_3,2018/12/17 10:50,0
12_3,2018/12/17 10:45,0
12_3,2018/12/17 10:37,1.91379
12_3,2018/12/17 10:38,0.956986
12_3,2018/12/17 10:36,0.942657
12_3,2018/12/17 10:53,1.805505
12_3,2018/12/17 10:51,0.956597
12_3,2018/12/17 10:52,0.942641
12_3,2018/12/17 10:57,0.942689
12_3,2018/12/17 10:56,1.91479
12_3,2018/12/17 10:55,0.942654
12_3,2018/12/17 10:54,0.942642
12_3,2018/12/17 10:59,0.928956
12_3,2018/12/17 10:58,0.942761
12_3,2018/12/17 11:04,0.956493
12_3,2018/12/17 11:17,0
12_3,2018/12/17 11:10,2.870897
12_3,2018/12/17 11:09,0
12_3,2018/12/17 11:03,0.956523
12_3,2018/12/17 11:14,0.915795
12_3,2018/12/17 11:00,0.956577
12_3,2018/12/17 11:05,0
12_3,2018/12/17 11:06,0.956848
12_3,2018/12/17 11:01,0.956675
12_3,2018/12/17 11:02,3.769793
12_3,2018/12/17 11:13,0.95691
12_3,2018/12/17 11:12,0.95704
12_3,2018/12/17 11:12,0.95704
12_3,2018/12/17 11:17,0
12_3,2018/12/17 11:16,1.885587
12_3,2018/12/17 11:08,1.858459
12_3,2018/12/17 11:07,0
12_3,2018/12/17 11:18,0.942857
12_3,2018/12/17 11:19,0
12_3,2018/12/17 11:28,0
12_3,2018/12/17 11:25,0
12_3,2018/12/17 11:41,0.899304
12_3,2018/12/17 11:39,0
12_3,2018/12/17 11:32,0
12_3,2018/12/17 11:29,0.956707
12_3,2018/12/17 11:30,2.870496
12_3,2018/12/17 11:31,2.82962
12_3,2018/12/17 11:33,2.870342
12_3,2018/12/17 11:40,0
12_3,2018/12/17 11:23,0.956905
12_3,2018/12/17 11:20,1.884223
12_3,2018/12/17 11:22,0
12_3,2018/12/17 11:26,0
12_3,2018/12/17 11:24,0.929253
12_3,2018/12/17 11:27,0
12_3,2018/12/17 11:42,0
12_3,2018/12/17 11:35,0
12_3,2018/12/17 11:24,0.929253
12_3,2018/12/17 11:34,0.942883
12_3,2018/12/17 11:37,0
12_3,2018/12/17 11:38,0
12_3,2018/12/17 11:45,0.94269
12_3,2018/12/17 11:53,0
12_3,2018/12/17 11:55,0.942863
12_3,2018/12/17 11:48,0.956816
12_3,2018/12/17 11:54,0
12_3,2018/12/17 11:46,0.942339
12_3,2018/12/17 12:01,0
12_3,2018/12/17 11:57,0.942961
12_3,2018/12/17 12:00,0
12_3,2018/12/17 11:50,0
12_3,2018/12/17 11:51,0.956549
12_3,2018/12/17 11:49,0
12_3,2018/12/17 11:44,0.956685
12_3,2018/12/17 11:56,0.942705
12_3,2018/12/17 11:43,0
12_3,2018/12/17 11:47,0
12_3,2018/12/17 11:48,0.956816
12_3,2018/12/17 12:02,0
12_3,2018/12/17 11:52,0.942695
12_3,2018/12/17 11:59,0
12_3,2018/12/17 11:58,0
12_3,2018/12/17 12:08,0
12_3,2018/12/17 12:13,0
12_3,2018/12/17 12:20,0
12_3,2018/12/17 12:13,0
12_3,2018/12/17 12:18,0
12_3,2018/12/17 12:15,0
12_3,2018/12/17 12:16,0.9429
12_3,2018/12/17 12:15,0
12_3,2018/12/17 12:22,0
12_3,2018/12/17 12:19,0
12_3,2018/12/17 12:21,0
12_3,2018/12/17 12:17,0
12_3,2018/12/17 12:07,0
12_3,2018/12/17 12:09,0
12_3,2018/12/17 12:06,0
12_3,2018/12/17 12:11,0
12_3,2018/12/17 12:12,0
12_3,2018/12/17 12:10,0
12_3,2018/12/17 12:04,2.828006
12_3,2018/12/17 12:05,0
12_3,2018/12/17 12:03,0
12_3,2018/12/17 12:35,0
12_3,2018/12/17 12:29,0
12_3,2018/12/17 12:36,0.942564
12_3,2018/12/17 12:42,0
12_3,2018/12/17 12:38,0
12_3,2018/12/17 12:43,0
12_3,2018/12/17 12:31,0
12_3,2018/12/17 12:29,0
12_3,2018/12/17 12:34,0
12_3,2018/12/17 12:30,0
12_3,2018/12/17 12:33,0
12_3,2018/12/17 12:25,0
12_3,2018/12/17 12:37,0
