host_id,time,磁盘处理的每个读IO的平均时间
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:06:00,0.011114
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:06:00,0.011114
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:11:00,0.003609
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:11:00,0.003609
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:11:00,0.003609
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:11:00,0.003609
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:11:00,0.003609
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:11:00,0.003609
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:11:00,0.003609
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:11:00,0.003609
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:11:00,0.003609
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:11:00,0.003609
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:11:00,0.003609
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:11:00,0.003609
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:11:00,0.003609
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:11:00,0.003609
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:16:00,0.016806
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:16:00,0.016806
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:16:00,0.016806
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:16:00,0.016806
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:16:00,0.016806
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:16:00,0.016806
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:16:00,0.016806
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:16:00,0.016806
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:16:00,0.016806
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:16:00,0.016806
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:16:00,0.016806
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:16:00,0.016806
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:21:00,0.207671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:21:00,0.207671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:21:00,0.207671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:21:00,0.207671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:21:00,0.207671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:21:00,0.207671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:21:00,0.207671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:21:00,0.207671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:21:00,0.207671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:21:00,0.207671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:21:00,0.207671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:21:00,0.207671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:21:00,0.207671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:21:00,0.207671
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:26:00,0.007043
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:26:00,0.007043
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:26:00,0.007043
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:26:00,0.007043
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:26:00,0.007043
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:26:00,0.007043
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:26:00,0.007043
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:26:00,0.007043
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:26:00,0.007043
ca811f30-8588-478f-a188-4291d025b3b9,2019/2/25 14:26:00,0.007043
