host_id,time,MSMQ
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:09:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:10:00,0.986017
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:11:00,0.986196
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:12:00,2.958372
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:12:00,2.958372
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:13:00,2.958318
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:14:00,0.986259
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:14:00,0.986259
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:15:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:16:00,2.958385
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:17:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:17:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:18:00,0.986255
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:19:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:20:00,0.986198
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:20:00,0.986198
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:21:00,0.986106
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:22:00,1.972358
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:23:00,0.986302
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:23:00,0.986302
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:24:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:25:00,0.986387
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:25:00,0.986387
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:26:00,0.986175
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:27:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:28:00,0.986202
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:28:00,0.986202
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:29:00,0.98618
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:30:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:30:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:31:00,0.986054
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:32:00,1.972144
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:33:00,1.972698
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:33:00,1.972698
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:34:00,0.986171
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:34:00,0.986171
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:35:00,0.986098
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:35:00,0.986098
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:36:00,2.958828
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:37:00,2.958691
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:38:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:38:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:39:00,0.986295
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:40:00,1.972827
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:40:00,1.972827
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:41:00,1.972311
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:42:00,1.972265
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:42:00,1.972265
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:43:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:44:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:45:00,2.958633
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:45:00,2.958633
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:46:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:47:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:48:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:48:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:49:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:50:00,2.958312
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:51:00,0.986126
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:51:00,0.986126
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:52:00,1.972339
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:53:00,1.972813
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:53:00,1.972813
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:54:00,4.930531
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:55:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:55:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:56:00,1.972163
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:57:00,0.986285
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:58:00,0.986309
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:58:00,0.986309
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 14:59:00,2.95909
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:00:00,1.942454
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:00:00,1.942454
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:01:00,0
20bc4dbb-f7f8-4521-9187-7dc31cac76e9,2019/2/25 15:02:00,0
