host_id,time,value
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:11:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:11:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:11:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:11:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:11:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:11:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:11:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:11:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:11:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:11:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:11:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:11:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:11:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:36:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:36:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:36:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:36:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:36:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:36:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:36:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:36:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:36:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:36:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:36:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:46:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:46:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:46:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:36:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:46:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:46:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:46:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:46:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:46:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:46:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:46:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:46:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:46:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:46:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 0:46:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:16:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:16:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:16:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:16:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:06:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:06:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:06:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:06:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:16:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:06:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:06:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:16:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:16:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:06:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:16:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:06:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:06:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:16:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:06:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:06:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:06:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:16:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:16:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:16:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:16:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:41:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:41:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:56:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:56:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:51:00,0
8fa2e44b-53aa-4d13-8ebf-3f86e67eca47,2019/3/1 1:56:00,0
